name,year_period,year,recclass,continent,country,mass_cleaned,mass_bin,recclass_clean,fall,reclat,reclong
Yamato 86328,20th Century,1986.0,H4,Antarctica,Antarctica,4.42,1-10g,H4,Found,-71.5,35.66667
Yamato 86329,20th Century,1986.0,H4,Antarctica,Antarctica,4.64,1-10g,H4,Found,-71.5,35.66667
Yamato 86330,20th Century,1986.0,H4,Antarctica,Antarctica,7.77,1-10g,H4,Found,-71.5,35.66667
Yamato 86331,20th Century,1986.0,H4,Antarctica,Antarctica,10.18,10-100g,H4,Found,-71.5,35.66667
Yamato 86332,20th Century,1986.0,H4,Antarctica,Antarctica,4.74,1-10g,H4,Found,-71.5,35.66667
Yamato 86333,20th Century,1986.0,H4,Antarctica,Antarctica,8.02,1-10g,H4,Found,-71.5,35.66667
Yamato 86334,20th Century,1986.0,H4,Antarctica,Antarctica,6.0,1-10g,H4,Found,-71.5,35.66667
Yamato 86335,20th Century,1986.0,H4,Antarctica,Antarctica,4.51,1-10g,H4,Found,-71.5,35.66667
Yamato 86336,20th Century,1986.0,H4,Antarctica,Antarctica,6.09,1-10g,H4,Found,-71.5,35.66667
Yamato 86337,20th Century,1986.0,H4,Antarctica,Antarctica,7.48,1-10g,H4,Found,-71.5,35.66667
Yamato 86338,20th Century,1986.0,H4,Antarctica,Antarctica,4.31,1-10g,H4,Found,-71.5,35.66667
Yamato 86339,20th Century,1986.0,H4,Antarctica,Antarctica,6.28,1-10g,H4,Found,-71.5,35.66667
Yamato 86340,20th Century,1986.0,H4,Antarctica,Antarctica,6.11,1-10g,H4,Found,-71.5,35.66667
Yamato 86341,20th Century,1986.0,H4,Antarctica,Antarctica,5.99,1-10g,H4,Found,-71.5,35.66667
Yamato 86342,20th Century,1986.0,H4,Antarctica,Antarctica,6.78,1-10g,H4,Found,-71.5,35.66667
Yamato 86343,20th Century,1986.0,H4,Antarctica,Antarctica,4.36,1-10g,H4,Found,-71.5,35.66667
Yamato 86344,20th Century,1986.0,H4,Antarctica,Antarctica,4.91,1-10g,H4,Found,-71.5,35.66667
Yamato 86345,20th Century,1986.0,H4,Antarctica,Antarctica,6.31,1-10g,H4,Found,-71.5,35.66667
Yamato 86346,20th Century,1986.0,H4,Antarctica,Antarctica,3.84,1-10g,H4,Found,-71.5,35.66667
Yamato 86347,20th Century,1986.0,H4,Antarctica,Antarctica,5.26,1-10g,H4,Found,-71.5,35.66667
Yamato 86348,20th Century,1986.0,H4,Antarctica,Antarctica,7.25,1-10g,H4,Found,-71.5,35.66667
Yamato 86349,20th Century,1986.0,H4,Antarctica,Antarctica,7.07,1-10g,H4,Found,-71.5,35.66667
Yamato 86350,20th Century,1986.0,H4,Antarctica,Antarctica,4.32,1-10g,H4,Found,-71.5,35.66667
Yamato 86351,20th Century,1986.0,H4,Antarctica,Antarctica,7.14,1-10g,H4,Found,-71.5,35.66667
Yamato 86352,20th Century,1986.0,H4,Antarctica,Antarctica,4.85,1-10g,H4,Found,-71.5,35.66667
Yamato 86353,20th Century,1986.0,H4,Antarctica,Antarctica,6.52,1-10g,H4,Found,-71.5,35.66667
Yamato 86354,20th Century,1986.0,H4,Antarctica,Antarctica,5.68,1-10g,H4,Found,-71.5,35.66667
Yamato 86355,20th Century,1986.0,H4,Antarctica,Antarctica,4.76,1-10g,H4,Found,-71.5,35.66667
Yamato 86356,20th Century,1986.0,H4,Antarctica,Antarctica,6.43,1-10g,H4,Found,-71.5,35.66667
Yamato 86357,20th Century,1986.0,H4,Antarctica,Antarctica,4.38,1-10g,H4,Found,-71.5,35.66667
Yamato 86358,20th Century,1986.0,H4,Antarctica,Antarctica,5.95,1-10g,H4,Found,-71.5,35.66667
Yamato 86359,20th Century,1986.0,H4,Antarctica,Antarctica,7.94,1-10g,H4,Found,-71.5,35.66667
